,char,tag
0,"['《', '逐', '风', '行', '》', '是', '百', '度', '文', '学', '旗', '下', '纵', '横', '中', '文', '网', '签', '约', '作', '家', '清', '水', '秋', '风', '创', '作', '的', '一', '部', '东', '方', '玄', '幻', '小', '说', '，', '小', '说', '已', '于', '2', '0', '1', '4', '-', '0', '4', '-', '2', '8', '正', '式', '发', '布']","['O', 'B_网络小说', 'M_网络小说', 'E_网络小说', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_网站', 'M_网站', 'M_网站', 'M_网站', 'E_网站', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"['谢', '万', '松', '，', '字', '树', '人', '，', '湖', '北', '省', '武', '汉', '市', '人', '，', '武', '汉', '钢', '铁', '集', '团', '公', '司', '联', '合', '焦', '化', '公', '司', '退', '体', '职', '工', '，', '生', '于', '1', '9', '4', '0', '年']","['B_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'B_地点', 'M_地点', 'M_地点', 'M_地点', 'M_地点', 'E_地点', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,"['《', '娘', '家', '的', '故', '事', '第', '二', '部', '》', '是', '张', '玲', '执', '导', '，', '林', '在', '培', '、', '何', '赛', '飞', '等', '主', '演', '的', '电', '视', '剧']","['O', 'B_影视作品', 'M_影视作品', 'M_影视作品', 'M_影视作品', 'M_影视作品', 'M_影视作品', 'M_影视作品', 'E_影视作品', 'O', 'O', 'B_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,"['九', '玄', '珠', '是', '在', '纵', '横', '中', '文', '网', '连', '载', '的', '一', '部', '小', '说', '，', '作', '者', '是', '龙', '马']","['B_网络小说', 'M_网络小说', 'E_网络小说', 'O', 'O', 'B_网站', 'M_网站', 'M_网站', 'M_网站', 'E_网站', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,"['《', '下', '半', '生', '留', '住', '你', '一', '直', '相', '爱', '》', '是', '商', '人', '醉', '猫', '写', '的', '网', '络', '小', '说', '连', '载', '于', '1', '7', 'k', '小', '说', '网']","['O', 'B_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'E_网络小说', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_网站', 'M_网站', 'M_网站', 'M_网站', 'M_网站', 'E_网站']"
5,"['个', '人', '简', '介', '梁', '信', '强', '，', '男', '，', '2', '0', '1', '0', '年', '广', '州', '亚', '运', '会', '中', '国', '澳', '门', '代', '表', '团', '成', '员']","['O', 'O', 'O', 'O', 'B_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_国家', 'E_国家', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,"['李', '春', '英', '，', '女', '，', '汉', '族', '，', '1', '9', '7', '0', '年', '1', '月', '生', '，', '山', '东', '临', '清', '市', '人', '，', '大', '学', '，', '1', '9', '9', '2', '年', '7', '月', '参', '加', '工', '作', '，', '1', '9', '9', '9', '年', '6', '月', '加', '入', '中', '国', '共', '产', '党']","['B_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_国家', 'E_国家', 'O', 'O', 'O']"
7,"['《', '穿', '越', '之', '鸣', '人', '传', '说', '》', '是', '一', '部', '连', '载', '于', '1', '7', 'k', '小', '说', '网', '的', '网', '络', '小', '说', '，', '作', '者', '是', '玖', '血', '月']","['O', 'B_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'E_网络小说', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_网站', 'M_网站', 'M_网站', 'M_网站', 'M_网站', 'E_网站', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['王', '润', '泽', '1', '，', '女', '，', '1', '9', '8', '3', '年', '1', '0', '月', '生', '，', '山', '东', '人', '，', '2', '0', '0', '6', '年', '6', '月', '毕', '业', '于', '四', '川', '外', '语', '学', '院', '法', '语', '专', '业', '，', '现', '任', '云', '南', '边', '防', '总', '队', '昆', '明', '边', '防', '检', '查', '站', '正', '连', '职', '检', '查', '员', '，', '2', '0', '0', '7', '年', '1', '2', '月', '至', '2', '0', '0', '8', '年', '8', '月', '和', '2', '0', '0', '9', '年', '6', '月', '至', '2', '0', '1', '0', '年', '5', '月', '，', '参', '加', '中', '国', '第', '六', '支', '、', '第', '八', '支', '赴', '海', '地', '维', '和', '警', '察', '防', '暴', '队', '，', '担', '任', '值', '勤', '官']","['B_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_学校', 'M_学校', 'M_学校', 'M_学校', 'M_学校', 'E_学校', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,"['《', '舌', '尖', '上', '的', '中', '国', '3', '》', '开', '播', '前', '就', '有', '各', '种', '风', '声', '吹', '出', '，', '有', '说', '李', '立', '宏', '老', '师', '不', '再', '担', '任', '配', '音', '了', '，', '换', '成', '《', '同', '桌', '的', '你', '》', '老', '狼', '了', '，', '想', '像', '不', '到', '听', '着', '不', '会', '饿', '的', '《', '舌', '尖', '上', '的', '中', '国', '》', '会', '是', '什', '么', '样', '子', '现', '在', '导', '演', '陈', '晓', '卿', '也', '换', '了', '，', '攒', '了', '3', '年', '口', '水', '，', '满', '满', '的', '期', '待', '荡', '然', '无', '存', '，', '大', '年', '初', '四', '的', '晚', '上', '坐', '在', '电', '视', '前', '看', '了', '《', '舌', '尖', '3', '》', '第', '一', '集', '，', '象', '我', '这', '种', '奔', '着', '美', '食', '去', '的', '吃', '货', '一', '族', '，', '妥', '妥', '的', '看', '了', '一', '堆', '的', '锅', '碗', '标', '盆', '美', '食', '不', '有', '了', '，', '看', '的', '我', '眼', '花', '缭', '乱', '，', '也', '可', '能', '3', '不', '同', '于', '1', '、', '2', '风', '格', '吧', '，', '导', '演', '不', '同', '了', '，', '画', '风', '当', '然', '不', '同', '，', '可', '美', '食', '还', '是', '美', '食', '，', '这', '个', '是', '无', '法', '改', '变', '的', '，', '毕', '竟', '才', '播', '了', '一', '集', '，', '在', '第', '二', '集', '的', '《', '香', '》', '预', '告', '中', '，', '看', '着', '一', '道', '道', '美', '食', '扑', '面', '而', '来', '，', '故', '乡', '的', '味', '道', '，', '历', '久', '弥', '新', '其', '实', '看', '了', '片', '头', '大', '家', '就', '该', '明', '白', '节', '目', '制', '作', '的', '初', '心', '了', '—', '—', '扶', '贫']","['O', 'B_影视作品', 'M_影视作品', 'M_影视作品', 'M_影视作品', 'M_影视作品', 'E_影视作品', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
