comment,emo
年前订的国6车应该快到联系了销售之前不好订的30又可以定了而且价格也不是不能接受心理上还是有一个6缸情节但30保有量实在是少选哪个更稳妥些呀还有就是我一直觉得20的轮毂因为点缀有深色所以显得比较小,负向
硬配置发动机变速箱悬挂H9胜软配置HS5胜外观各有特色大小H9尺寸大HS5轴距大价格都在20到27万左右品牌红旗胜保有量哈弗胜这两款车比较起来大家怎么看用途不同各有千秋,正向
找那些修车倒车的朋友问车当然说买什么保有量多合资车了这也是正解没什么毛病但买车有个最主要的问题和找朋友是一样的最主要还是自己决定自已得看上眼不要信什么国产车不行容易坏什么的没有国人去买怎能会成为下一个华为再说中国汽车不是刚起步一汽更不是,正向
首先论坛必须有版主操作才会把有关质量反馈的问题移到质量反馈区现在论坛连个版主都没有反馈区当然没有帖子了再就是车子刚上市没多久保有量几千台罢了能发现问题的可能不多大多数车主是不上论坛的可能就没有关于质量反馈的帖子了哦这个真不清楚谢谢,中性
正打算入手已下订金但一直犹豫要不要入手现在红旗车保有量小4s店太少论坛上又有各种什么油耗高轮胎不行售后的言论比较纠结有没有真正的小5车主加个好友聊聊啊,负向
销量低保有量低呀,负向
这车的销量也就是一般在路上看到的不多说明保有量小了点不过买使用没问题的,正向
5月30日上市那天我订了一台白色旗享版我原本3月份看好ES300h的无意之中了解到HS5在5月30日上市足足等了两个月才确定把我的途观换成HS5很多人问我为什么突然买HS5也于是对红旗的一种情怀让我等了两月才确换车5月30日试驾了HS5仔细地了解整个车辆工艺用料,正向
计前排和第二排的空间真大,正向
隔音效果上流水平,正向
总之座在里面很舒服的感觉,正向
最终HS5的性能打动了,正向
当天交了定金可惜今天还提到车,负向
当你现场试驾了解它的质量标准完全说服你的想法国6B排放标准家的终身质保让你放心拥有,正向
当然它不是没有不足6AT变速器有点落后的感觉,负向
后尾箱门缝有提升空间,负向
后备箱偏小世上无十全十美的东西看你自已需求吧也于HS5和我缘吧,负向
"按照这个价格,今年总销量在4000左右,就按照这个保有量,产品再换代.5年后这车卖12万很好了,我亏30-35.降价到28.9-40,总销量可以上2.5万辆.5年后预计能卖17万,我亏10-23.我掏钱出来买情怀,而不是被坑的.",负向
毕竟市场保有量不高!,负向
观点在理条理分明逻辑清晰尤其说透红旗什么都不缺缺的是车型量销量以及保有量一语中的,负向
"我倒是想买,却没有地方去买,你说销量能如何?这里是苏州,汽车保有量全国排第七,将近400万辆.没有4S店!",负向
"只要买的人多了,市场保有量大",负向
"只要买的人多了,市场保有量大,保值率自然就上去了",中性
我也想买可保有量太少不敢下手,负向
"轿车也是去年才开始,保有量10万都没得",负向
二手没有终身质保,负向
"加上目前保有量低,会血亏的",负向
按保有量还是昂科威,负向
"刚出来,你谈保有量?D83DDE05",中性
"你说的油耗啥的,要达到一定保有量",中性
售后是个问题.,负向
跟车子保有量是个问题.,负向
销量少.,负向
"配件贼贵,而且找不到",负向
就是市场保有量太少,负向
"我为什么不选博瑞呢,价格",负向
"我为什么不选博瑞呢,保有量!??",负向
最好是上个2.0的版本拉低下售价  要稳着点来多点市场保有量  不然红旗销量还是不行,负向
"定价不要超过十五万,要不销量还会惨淡的.十五以上能选择的车型太多了",负向
"十五万不能再多了,品牌差,质量不稳定",负向
保有量低,负向
"十五万不能再多了,维修贵,全占齐了",负向
"市场的保有量很低的品牌啊,要是买回家了,再卖的话估计是不好卖的",负向
叫好不叫座!路上保有量上去了再说!,负向
"没有什么谁懂不懂车或者是哪一款车好哪一款车不好,只不过看一款车在市场上的保有量多与少而已,红旗HS5就很不错.",正向
保有量越大越敢买!,中性
"都买国产车,保有量一多4S店自然就多,后面的我就不用说了",中性
h5算是红旗新征程的开山之作不希望到最后把这批人给冷落了是希望保有量要多些Text,中性
可以去广西南宁一带去目前全国电动车和摩托车保有量最大的省份Text,中性
慢慢来以后保有量大了保值率就高了Text,中性
市场保有量不多Text,负向
这车还不如自家的红旗保有量可能都没红旗多更别说这几年销量了,正向
"这个价格坚挺住,不出三年,保有量就会上十几万",正向
"红旗HS5定位一款中型suv,整车最大优点就是外观大气",正向
内饰精致而且全系配置都很丰富,正向
"如果喜欢可以购买,这款车缺点就是目前保有量不大!",负向
价格不亲民,负向
保有量低.,负向
车子做工没有问题动力强,正向
配置丰富,负向
不过保有量小,负向
性价比不高,负向
只要维修保养不闲麻烦也不错,负向
就是保有量太少维修保养肯定贵,负向
这车就是保有量有点少,负向
拥有量?小!!保有量,负向
考虑到车子的保有量偏低这个情况.,负向
维修配件估计价格会相对价格高一点.,负向
"销售终端的建议如下:1,红旗的质保政策应该调整:不论是不是一手车主,只要保证车子都在4s保养就该是终身质保.打消客户购车的后顾之忧；",负向
"2,客人不是傻子,什么按照bba原值率订的回购计划就是自欺欺人,看似诚意,谁买你这个车想着回购.",负向
"3,正视自身产品与一线品牌的差距,明晰自身定位,央企建房子牛逼不代表央企造车牛逼,车子这东西是靠大量实践总结的,先保证保有量,保证足够的客户基数,这样才能保证有进一步改款的可能性.加速推出各类主题车款,拉长产品线.",负向
"4,简配降价吧,但别动发动机,3.0t要是变成2.0t这车就真没希望了,h7作为例子3.0降到2.0t也未能如期多卖吧,核心问题还不是产品力和营销组织出了问题,没明白产品核心是什么.",负向
